run_id,role,provider,problem,layer,workers,mean_all_score,valid_snapshots,unique_valid_snapshots,dominant_snapshot_share,full_snapshot_convergence,valid_failure_signatures,unique_failure_signatures,dominant_failure_signature_share,mean_pairwise_failure_jaccard,mean_received_results,mean_received_experience_chars,total_input_tokens,worker_all_passed
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,7,3,0.8828828828828829,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.28703703703703703,0,0,125964,33|31|34
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,8,3,0.9009009009009009,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.3333333333333333,0,0,125488,32|34|34
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,9,3,0.8828828828828829,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.3333333333333333,0,0,135386,34|32|32
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,10,3,0.9099099099099098,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.8333333333333334,0,0,137400,34|33|34
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,11,3,0.9009009009009009,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.8333333333333334,0,0,163126,33|33|34
kimi-maas-no-transfer,no_transfer_control,ModelArts MaaS,cfgpipe,12,3,0.8738738738738739,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.2777777777777778,0,0,135168,32|34|31
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,1,3,0.918918918918919,3,3,0.3333333333333333,False,3,1,1.0,1.0,3,25934,312031,34|34|34
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,2,3,0.9009009009009009,3,3,0.3333333333333333,False,3,2,0.6666666666666666,0.8333333333333334,6,54177,466845,33|34|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,3,3,0.8918918918918919,3,2,0.6666666666666666,False,3,1,1.0,1.0,9,83280,484327,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,4,3,0.8918918918918919,3,2,0.6666666666666666,False,3,1,1.0,1.0,12,114871,679783,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,5,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,15,146442,847051,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,6,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,18,178053,1116199,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,7,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,21,209664,1057560,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,8,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,24,241275,1418222,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,9,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,27,272886,1592780,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,10,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,30,304497,1511512,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,11,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,33,336111,1657341,33|33|33
kimi-maas-self-report-r2,frozen_main_self_report,ModelArts MaaS,cfgpipe,12,3,0.8918918918918919,3,1,1.0,True,3,1,1.0,1.0,36,367725,1902830,33|33|33
kimi-maas-bounded-context-r1,prospective_context_growth_control,ModelArts MaaS,cfgpipe,1,3,0.918918918918919,3,3,0.3333333333333333,False,3,1,1.0,1.0,3,25934,320135,34|34|34
kimi-maas-bounded-context-r1,prospective_context_growth_control,ModelArts MaaS,cfgpipe,2,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,3,27222,210626,34|34|34
kimi-maas-bounded-context-r1,prospective_context_growth_control,ModelArts MaaS,cfgpipe,3,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,3,31404,205775,34|34|34
kimi-maas-bounded-context-r1,prospective_context_growth_control,ModelArts MaaS,cfgpipe,4,3,0.918918918918919,3,2,0.6666666666666666,False,3,1,1.0,1.0,3,32007,202638,34|34|34
kimi-maas-bounded-context-r1,prospective_context_growth_control,ModelArts MaaS,cfgpipe,5,3,0.918918918918919,3,1,1.0,True,3,1,1.0,1.0,3,32032,228840,34|34|34
kimi-maas-bounded-context-r1,prospective_context_growth_control,ModelArts MaaS,cfgpipe,6,3,0.918918918918919,3,2,0.6666666666666666,False,3,1,1.0,1.0,3,32082,231145,34|34|34
log-query-no-transfer,second_task_no_transfer,Kimi Coding,log_query,1,3,0.9203980099502487,3,3,0.3333333333333333,False,1,1,1.0,1.0,0,0,194504,120|129|121
log-query-no-transfer,second_task_no_transfer,Kimi Coding,log_query,2,3,0.9477611940298507,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.19047619047619047,0,0,184984,120|128|133
log-query-no-transfer,second_task_no_transfer,Kimi Coding,log_query,3,3,0.9701492537313433,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.6166666666666667,0,0,186463,129|130|131
log-query-no-transfer,second_task_no_transfer,Kimi Coding,log_query,4,3,0.917910447761194,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.4255952380952381,0,0,208821,129|118|122
log-query-no-transfer,second_task_no_transfer,Kimi Coding,log_query,5,3,0.9378109452736318,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.29446778711484595,0,0,206740,120|131|126
log-query-cumulative-verified,second_task_transfer_boundary,Kimi Coding,log_query,1,3,0.9303482587064676,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.38888888888888884,3,22113,391297,120|132|122
log-query-cumulative-verified,second_task_transfer_boundary,Kimi Coding,log_query,2,3,0.9726368159203981,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.47777777777777775,4,30082,460689,129|131|131
log-query-cumulative-verified,second_task_transfer_boundary,Kimi Coding,log_query,3,3,0.9776119402985075,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.37777777777777777,5,38024,533670,133|131|129
log-query-cumulative-verified,second_task_transfer_boundary,Kimi Coding,log_query,4,3,0.9676616915422885,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.5333333333333333,5,38024,533290,129|131|129
log-query-cumulative-verified,second_task_transfer_boundary,Kimi Coding,log_query,5,3,0.9626865671641791,3,3,0.3333333333333333,False,3,3,0.3333333333333333,0.6793650793650794,7,53773,680476,128|129|130
